,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_loss,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
153,0.16271548271179198,0.005000500728212576,0.0003243923187255859,9.269056964059485e-06,0.09817849101470714,squared_error,absolute_error,35,sqrt,9,351,"{'ccp_alpha': 0.09817849101470714, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 35, 'max_features': 'sqrt', 'min_samples_split': 9, 'n_estimators': 351}",-1.1708166159055338,-1.3689077148042244,-1.0206068447052312,-1.1910924034897037,-0.835880591204772,-1.1174608340218928,0.17897603735102222,43,-0.9167245706262579,-0.8711878690531966,-0.8596470373282357,-0.9051941134223599,-1.0418727532226517,-0.9189252687305404,0.06496497469763407
154,1.9035608291625976,0.1746179811565417,0.0008736610412597656,0.0002481448201347324,0.03801190304992,friedman_mse,absolute_error,48,1,2,969,"{'ccp_alpha': 0.03801190304992, 'criterion': 'friedman_mse', 'loss': 'absolute_error', 'max_depth': 48, 'max_features': 1, 'min_samples_split': 2, 'n_estimators': 969}",-1.060811881959112,-1.3396631746313372,-1.1045359320720576,-1.166326799026224,-0.8784705489960137,-1.109961667336949,0.14964831332176934,36,-0.15249184262962687,-0.1137906984919368,-0.14583585849518935,-0.11540174259210147,-0.1560555798483672,-0.13671514441144433,0.018362654452905244
155,0.2800412654876709,0.004705016997964434,0.00032434463500976565,1.1451639229762634e-05,0.12515089365696494,friedman_mse,huber,39,log2,7,427,"{'ccp_alpha': 0.12515089365696494, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 39, 'max_features': 'log2', 'min_samples_split': 7, 'n_estimators': 427}",-1.235992108683979,-1.2808868777037001,-1.0648141697041402,-1.301864470838589,-0.9336706829379143,-1.1634456619736646,0.14194358385514888,143,-1.006028533749777,-0.9908838683196505,-1.0212359901765942,-1.009876942395546,-1.0965632490584172,-1.024917716739997,0.037115943681645204
156,0.1515352725982666,0.00669484303020171,0.0003600597381591797,8.23618008130795e-06,0.12147557197877917,friedman_mse,squared_error,49,4,9,741,"{'ccp_alpha': 0.12147557197877917, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 49, 'max_features': 4, 'min_samples_split': 9, 'n_estimators': 741}",-1.2022039806658338,-1.2819563479442142,-1.0840487657857123,-1.2692280875970152,-0.9421042732166555,-1.155908291041886,0.12786612469779438,109,-1.013704001170331,-0.9684772453136937,-0.9774229345570355,-0.9579614199670723,-1.0668647090788195,-0.9968860620173905,0.039701022852535475
157,0.0004567146301269531,4.585081245897529e-06,0.0,0.0,0.22192955109210277,squared_error,absolute_error,59,9,5,767,"{'ccp_alpha': 0.22192955109210277, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 59, 'max_features': 9, 'min_samples_split': 5, 'n_estimators': 767}",,,,,,,,440,,,,,,,
158,0.10434560775756836,0.0012215925902586745,0.0003365993499755859,1.274984452930248e-05,0.04542875791689738,friedman_mse,squared_error,14,3,5,520,"{'ccp_alpha': 0.04542875791689738, 'criterion': 'friedman_mse', 'loss': 'squared_error', 'max_depth': 14, 'max_features': 3, 'min_samples_split': 5, 'n_estimators': 520}",-1.0898403547382054,-1.3059104244201882,-1.1177455976011317,-1.223724033050965,-0.996628685657911,-1.1467698190936804,0.10758569849556979,74,-0.7413190745808917,-0.7129597219379301,-0.6677610978861077,-0.7313924536218057,-0.73455223081319,-0.717596915767985,0.02662950507341908
159,0.044844198226928714,0.00024970908030743657,0.00026564598083496095,8.141776301196188e-06,0.04671532247030176,friedman_mse,huber,28,7,6,53,"{'ccp_alpha': 0.04671532247030176, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 28, 'max_features': 7, 'min_samples_split': 6, 'n_estimators': 53}",-1.1791221937656782,-1.3272882913477433,-1.0950969490803957,-1.4236775874698102,-1.1706484657320166,-1.2391666974791287,0.11905113753569783,341,-0.8524494174178984,-0.7478017466080062,-0.8412281826216594,-0.7668636345983505,-0.8105179354671379,-0.8037721833426105,0.040774651266706874
160,0.6671334743499756,0.013535761750523779,0.0004062652587890625,1.4867840706232705e-05,0.0008727895884196041,squared_error,huber,21,7,5,834,"{'ccp_alpha': 0.0008727895884196041, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 21, 'max_features': 7, 'min_samples_split': 5, 'n_estimators': 834}",-1.182471699510469,-1.4907693731505656,-1.2384350578060754,-1.6909827555750552,-1.4709850986341078,-1.4147287969352544,0.18454594665637228,378,-0.14481457471374692,-0.16539084845194507,-0.1554900911965674,-0.13724981224718796,-0.13553927708550476,-0.1476969207389904,0.011305457773535607
161,1.1168283462524413,0.024443571813139248,0.0005649566650390625,1.1107952048691257e-05,0.02518747845144964,squared_error,absolute_error,28,3,6,498,"{'ccp_alpha': 0.02518747845144964, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 28, 'max_features': 3, 'min_samples_split': 6, 'n_estimators': 498}",-1.0806913628613266,-1.288680436435808,-1.1378359700295988,-1.16716562011812,-1.0589388168931875,-1.146662441267608,0.08088883155115854,73,-0.10883075649775918,-0.06879633824993504,-0.0228097191704122,-0.07198098704332401,-0.04590663380220074,-0.06366488695272624,0.028705209890786655
162,0.00037393569946289065,6.3342212440609235e-06,0.0,0.0,0.22757199465990113,squared_error,squared_error,28,9,6,423,"{'ccp_alpha': 0.22757199465990113, 'criterion': 'squared_error', 'loss': 'squared_error', 'max_depth': 28, 'max_features': 9, 'min_samples_split': 6, 'n_estimators': 423}",,,,,,,,438,,,,,,,
163,0.5890589237213135,0.0054899623049323555,0.0003909587860107422,5.69695694496342e-06,0.03590956802167275,squared_error,huber,34,3,6,876,"{'ccp_alpha': 0.03590956802167275, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 34, 'max_features': 3, 'min_samples_split': 6, 'n_estimators': 876}",-1.0694067126875406,-1.3032141649957716,-1.0367306264873488,-1.1998161653412265,-0.9089724876378182,-1.1036280314299411,0.1361057853220223,28,-0.7319040660088012,-0.6943669016512487,-0.6776945968917465,-0.6882905729369075,-0.7321031825597055,-0.7048718640096819,0.022786759096834405
164,0.00047626495361328123,3.257185241305936e-06,0.0,0.0,0.043110182996161664,squared_error,absolute_error,22,9,3,409,"{'ccp_alpha': 0.043110182996161664, 'criterion': 'squared_error', 'loss': 'absolute_error', 'max_depth': 22, 'max_features': 9, 'min_samples_split': 3, 'n_estimators': 409}",,,,,,,,437,,,,,,,
165,0.4421581268310547,0.0041932194327577435,0.00035262107849121094,9.710399744928545e-06,0.021408220060302754,squared_error,huber,11,auto,3,578,"{'ccp_alpha': 0.021408220060302754, 'criterion': 'squared_error', 'loss': 'huber', 'max_depth': 11, 'max_features': 'auto', 'min_samples_split': 3, 'n_estimators': 578}",-1.1281330338327984,-1.3485559408359122,-1.2234781740781102,-1.475954984371256,-1.2464702247508634,-1.284518471573788,0.11864124750157731,362,-0.5972394573608233,-0.5675781852924117,-0.5363618833008732,-0.5639493735392507,-0.5569524774526237,-0.5644162753891965,0.019648583365726013
166,0.11704378128051758,0.0017333948761712851,0.00028285980224609377,4.784081329797366e-06,0.047222875130565035,friedman_mse,huber,50,6,7,156,"{'ccp_alpha': 0.047222875130565035, 'criterion': 'friedman_mse', 'loss': 'huber', 'max_depth': 50, 'max_features': 6, 'min_samples_split': 7, 'n_estimators': 156}",-1.1676538224294177,-1.3287081087991643,-1.0697491009707185,-1.336614031227549,-1.158253566437086,-1.2121957259727871,0.10415356811503788,300,-0.8100890993267704,-0.7936354980133553,-0.7997477370211288,-0.7590565585487303,-0.7671738395576656,-0.7859405464935302,0.019534285193630374
