,NMF1,NMF2,NMF3,NMF4,NMF5,Class
C22 H26 O11,0.1278486989334367,0.6916600954101461,0.4716342269888658,0.314748859082038,0.8988084554886688,lignin
C22 H24 O12,2.4256377054600782e-06,0.7174300249547081,0.4713983748555058,0.3339131341854418,0.9078786522905408,lignin
C21 H24 O10,2.4256377054600782e-06,0.725424384278084,0.4711307443318329,0.3598265257683842,0.8685503538752701,lignin
C20 H24 O12,2.4256377054600782e-06,0.6709422812317845,0.4390338144345642,0.2212674729132945,0.9283193715648306,lignin
C21 H24 O12,0.0902767807755915,0.6457736457588242,0.3787667136833055,0.1844998154934353,0.8710006623132829,lignin
C21 H22 O13,2.4256377054600782e-06,0.6435694229954776,0.3779852595996193,3.5873342110026204e-06,0.8345137778417494,lignin
C21 H22 O12,0.0168893066126283,0.6783663952689524,0.3736143190006297,3.5873342110026204e-06,0.869383886423669,lignin
C22 H24 O13,0.1027203553220614,0.7047317545608376,0.4241956129753196,0.0701049598497959,0.8118816436872519,lignin
C21 H28 O11,0.0070352481753148,0.6854761252915292,0.5068130243832129,0.1472442158807353,0.8517556021218211,lignin
C19 H24 O12,2.4256377054600782e-06,0.7468379242155784,0.4978891830654827,0.128101504899094,0.8341590250913649,lignin
C17 H22 O11,2.4256377054600782e-06,0.7920312991036742,0.4919250274988473,0.1391678382177046,0.828519776267594,lignin
C21 H22 O11,2.4256377054600782e-06,0.7660226192610758,0.5084264438843741,3.5873342110026204e-06,0.8881008362018582,lignin
C23 H26 O14,2.4256377054600782e-06,0.7808130074247165,0.5060241328039216,0.2170262781781886,0.5228779392456235,lignin
C23 H24 O13,2.4256377054600782e-06,0.7672702743346964,0.5041693725362799,0.1749308664656641,0.6194398165756472,lignin
C20 H26 O12,0.0042480188098537,0.7648170587891279,0.4983522566554847,0.161370795704365,0.7198436934753367,lignin
C22 H22 O13,2.4256377054600782e-06,0.7847780136360802,0.5176173986806281,3.5873342110026204e-06,0.6517726798056683,lignin
C21 H20 O12,0.0025976428206049,0.8391644799967095,0.3259787306716591,3.5873342110026204e-06,0.6473405194299947,lignin
C26 H26 O16,0.7982936309669141,0.7196687508314488,0.5450692745045196,0.1449419775757917,1.569924118536804e-06,lignin
C25 H26 O16,0.7751007858586914,0.6922417078454698,0.5615995658729838,3.5873342110026204e-06,1.569924118536804e-06,lignin
C25 H22 O16,0.5659814627557442,0.8835691434359092,0.5346794510985061,3.5873342110026204e-06,1.569924118536804e-06,lignin
C25 H20 O16,0.6434085161758811,0.7630049825869736,0.4796495404343625,0.0325354606437185,1.569924118536804e-06,lignin
C25 H24 O16,0.6618200254455552,0.7551712093489861,0.5485142270143204,3.5873342110026204e-06,1.569924118536804e-06,lignin
C26 H24 O16,0.6886822282163134,0.7954427291697594,0.539921692319,0.1426426380907053,1.569924118536804e-06,lignin
