,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,Class
C32 H44 O12,0.21421199714214,2.5669726331038952e-06,1.8492174467358817e-06,0.8421498905453138,2.5105070760420363e-06,0.4322533140410807,4.282405132853128e-06,lignin
C31 H44 O11,0.2608183919279859,2.5669726331038952e-06,1.8492174467358817e-06,0.8471159896081178,2.5105070760420363e-06,0.4320324663289102,4.282405132853128e-06,lignin
C28 H32 O10,0.2809748395964857,2.5669726331038952e-06,1.8492174467358817e-06,0.8522549237975522,2.5105070760420363e-06,0.3947541625557668,0.1288222666519517,lignin
C29 H40 O9,0.3214056270600737,2.5669726331038952e-06,1.8492174467358817e-06,0.8375823102718652,2.5105070760420363e-06,0.5813930630844811,0.1743526905298524,lignin
C30 H36 O11,0.32015398539308,2.5669726331038952e-06,1.8492174467358817e-06,0.811807345840669,2.5105070760420363e-06,0.6043497383664088,4.282405132853128e-06,lignin
C31 H40 O12,0.3409466184090693,2.5669726331038952e-06,1.8492174467358817e-06,0.8249519637805317,2.5105070760420363e-06,0.5999731178073112,4.282405132853128e-06,lignin
C31 H44 O12,0.3732362995754623,2.5669726331038952e-06,1.8492174467358817e-06,0.8269498501415116,2.5105070760420363e-06,0.5867068700634767,4.282405132853128e-06,lignin
C25 H28 O8,0.2437431420903071,2.5669726331038952e-06,1.8492174467358817e-06,0.8440054865701966,2.5105070760420363e-06,0.5680137666764972,4.282405132853128e-06,lignin
C23 H26 O7,0.2429060809830232,2.5669726331038952e-06,1.8492174467358817e-06,0.8410936758825743,2.5105070760420363e-06,0.5675952527253564,4.282405132853128e-06,lignin
C28 H36 O10,0.1695166004178036,2.5669726331038952e-06,1.8492174467358817e-06,0.8612967866426724,2.5105070760420363e-06,0.5634657799354682,4.282405132853128e-06,lignin
C32 H44 O13,0.1946042272632497,2.5669726331038952e-06,1.8492174467358817e-06,0.8734615518961284,2.5105070760420363e-06,0.4876931845741121,4.282405132853128e-06,lignin
C25 H34 O7,0.1614694387056371,2.5669726331038952e-06,1.8492174467358817e-06,0.8264412491367694,2.5105070760420363e-06,0.6788521865066985,4.282405132853128e-06,lignin
C33 H40 O13,0.2281288048232149,2.5669726331038952e-06,1.8492174467358817e-06,0.8226171018467653,2.5105070760420363e-06,0.6943235848828104,4.282405132853128e-06,lignin
C23 H32 O6,0.2289218420665036,2.5669726331038952e-06,1.8492174467358817e-06,0.8277887733983302,2.5105070760420363e-06,0.7317861969608153,4.282405132853128e-06,lignin
C29 H36 O10,0.1683980769223844,2.5669726331038952e-06,1.8492174467358817e-06,0.6752497528064538,2.5105070760420363e-06,0.5685625854556943,4.282405132853128e-06,lignin
C25 H30 O8,0.2444858084708036,2.5669726331038952e-06,1.8492174467358817e-06,0.672550319140137,2.5105070760420363e-06,0.4438091484904339,4.282405132853128e-06,lignin
C26 H32 O9,0.161556372332775,2.5669726331038952e-06,1.8492174467358817e-06,0.6793500129059301,2.5105070760420363e-06,0.4360238118429468,4.282405132853128e-06,lignin
C24 H30 O7,0.1480190116471479,2.5669726331038952e-06,1.8492174467358817e-06,0.6224259020428567,2.5105070760420363e-06,0.3767988121522064,4.282405132853128e-06,lignin
C23 H30 O6,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.673458951052578,2.5105070760420363e-06,0.4487097950872117,4.282405132853128e-06,lignin
C24 H28 O7,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.6726622915034524,2.5105070760420363e-06,0.4493820578100202,4.282405132853128e-06,lignin
C30 H44 O7,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.6721882424028528,2.5105070760420363e-06,0.4497941786642918,4.282405132853128e-06,lignin
C30 H40 O10,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,0.6723719647815541,2.5105070760420363e-06,0.4507775201250011,4.282405132853128e-06,lignin
